bike_name,price,city,kms_driven,owner,age,power,brand,,,,
Bajaj Avenger 220cc,700000,Ahmedabad,100,First Owner,6,1198,Ducati,,,,
Bajaj Avenger 220cc,160000,Bangalore,3500,First Owner,3,500,Royal Enfield,,,,
Bajaj Avenger 220cc,47500,Mumbai,30000,First Owner,5,220,Bajaj,,,,
Bajaj Avenger 220cc,21000,Bagalkot,38000,First Owner,9,150,Yamaha,,,,
Bajaj Avenger 220cc,18000,Bhopal,22000,First Owner,12,125,Yamaha,,,,
Bajaj Avenger 220cc,36000,Bangalore,54560,First Owner,8,223,Hero,,,,
Bajaj Avenger 220cc,52000,Bangalore,33150,First Owner,6,150,Yamaha,,,,
Bajaj Avenger 220cc,435000,Jaipur,5550,Second Owner,7,883,Harley-Davidson,,,,
Bajaj Avenger 220cc,68000,Bangalore,12077,First Owner,5,200,TVS,,,,
Bajaj Avenger 220cc,80000,Pune,5000,First Owner,4,220,Bajaj,,,,
Bajaj Avenger 220cc,110800,Mumbai,13300,First Owner,6,500,Royal Enfield,,,,
Bajaj Avenger 220cc,85000,Hyderabad,16000,First Owner,2,160,TVS,,,,
Bajaj Avenger 220cc,145000,Bangalore,4000,First Owner,2,350,Royal Enfield,,,,
Bajaj Avenger 220cc,145000,Bangalore,3000,First Owner,3,400,Bajaj,,,,
Bajaj Avenger 220cc,149000,Mumbai,7000,First Owner,3,350,Royal Enfield,,,,
Bajaj Avenger 220cc,60000,Mumbai,4000,First Owner,2,100,Hero,,,,
Bajaj Avenger 220cc,140000,Mumbai,11000,First Owner,4,350,Royal Enfield,,,,
Bajaj Avenger 220cc,85000,Mumbai,15000,First Owner,7,200,KTM,,,,
Bajaj Avenger 220cc,86000,Mumbai,15000,First Owner,3,220,Bajaj,,,,
Bajaj Avenger 220cc,115000,Hyderabad,15500,First Owner,4,350,Royal Enfield,,,,
Bajaj Avenger 220cc,83000,Bangalore,500,First Owner,3,150,Suzuki,,,,
Bajaj Avenger 220cc,85000,Mumbai,15000,First Owner,7,200,KTM,,,,
Bajaj Avenger 220cc,86000,Mumbai,15000,First Owner,3,220,Bajaj,,,,
Bajaj Avenger 220cc,115000,Hyderabad,15500,First Owner,4,350,Royal Enfield,,,,
Bajaj Avenger 220cc,83000,Bangalore,500,First Owner,3,150,Suzuki,,,,
Bajaj Avenger 220cc,28000,Bangalore,35251,First Owner,12,180,Bajaj,,,,
Bajaj Avenger 220cc,14500,Delhi,35000,First Owner,14,100,Hero,,,,
Bajaj Avenger 220cc,32000,Delhi,22000,First Owner,5,110,Hero,,,,
Bajaj Avenger 220cc,62500,Delhi,26000,First Owner,5,180,Bajaj,,,,
Bajaj Avenger 220cc,122500,Delhi,10000,First Owner,3,150,Yamaha,,,,
Bajaj Avenger 220cc,24500,Delhi,15000,First Owner,6,100,Bajaj,,,,
Bajaj Avenger 220cc,78500,Delhi,26000,First Owner,4,200,TVS,,,,
Bajaj Avenger 220cc,102500,Delhi,21000,First Owner,4,350,Royal Enfield,,,,
Bajaj Avenger 220cc,28000,Bangalore,28428,First Owner,9,110,TVS,,,,
Bajaj Avenger 220cc,130000,Delhi,10149,First Owner,3,350,Royal Enfield,,,,
Bajaj Avenger 220cc,130000,Delhi,7036,First Owner,3,350,Royal Enfield,,,,
Bajaj Avenger 220cc,115000,Delhi,7593,First Owner,4,400,Bajaj,,,,
Bajaj Avenger 220cc,96000,Delhi,17000,First Owner,6,200,KTM,,,,
Bajaj Avenger 220cc,29500,Delhi,15798,First Owner,4,100,Bajaj,,,,
Bajaj Avenger 220cc,100000,Hyderabad,4800,First Owner,4,150,Yamaha,,,,
Bajaj Avenger 220cc,177982,Hamirpur(hp),7000,First Owner,2,410,Royal Enfield,,,,
Bajaj Avenger 220cc,202000,Bangalore,11000,First Owner,2,410,Royal Enfield,,,,
Bajaj Avenger 220cc,950000,Chennai,312,First Owner,3,1300,Suzuki,,,,
Bajaj Avenger 220cc,45400,Delhi,23000,Second Owner,5,220,Bajaj,,,,
Bajaj Avenger 220cc,105000,Delhi,16000,First Owner,4,350,Royal Enfield,,,,
Bajaj Avenger 220cc,885000,Delhi,300,First Owner,2,959,Ducati,,,,
Bajaj Avenger 220cc,30000,Arrah,50000,First Owner,6,150,Yamaha,,,,
Bajaj Avenger 220cc,22000,Delhi,22000,First Owner,6,100,Bajaj,,,,
Bajaj Avenger 220cc,115000,Delhi,10000,First Owner,4,350,Royal Enfield,,,,
Bajaj Avenger 220cc,55000,Patiala,3000,First Owner,4,150,Bajaj,,,,
Bajaj Avenger 220cc,20000,Faridabad,55000,First Owner,9,125,Bajaj,,,,
Bajaj Avenger 220cc,56000,Ranga Reddy,16500,First Owner,4,110,Hero,,,,
Bajaj Avenger 220cc,28000,Mandi,36000,First Owner,5,100,TVS,,,,
Bajaj Avenger 220cc,44000,Ludhiana,7329,First Owner,3,125,Hero,,,,
Bajaj Avenger 220cc,190000,Mandya,8780,First Owner,2,400,Bajaj,,,,
Bajaj Avenger 220cc,78000,Siliguri,20000,First Owner,8,350,Royal Enfield,,,,
Bajaj Avenger 220cc,18787,Bangalore,28164,First Owner,10,125,Honda,,,,
Bajaj Avenger 220cc,51500,Bangalore,20600,First Owner,6,200,Bajaj,,,,
Bajaj Avenger 220cc,54200,Mumbai,5700,First Owner,6,220,Bajaj,,,,
Bajaj Avenger 220cc,175000,Hyderabad,11277,First Owner,3,500,Royal Enfield,,,,
Bajaj Avenger 220cc,48000,Aurangabad,26000,First Owner,7,220,Bajaj,,,,
Bajaj Avenger 220cc,40000,Ludhiana,4000,First Owner,5,110,Honda,,,,
Bajaj Avenger 220cc,102400,Kanpur,11600,First Owner,4,400,Bajaj,,,,
Bajaj Avenger 220cc,65000,Chennai,8800,First Owner,3,150,Yamaha,,,,
Bajaj Avenger 220cc,170000,Bhilwara,2100,First Owner,4,390,KTM,,,,
Bajaj Avenger 220cc,12999,Meerut,65000,First Owner,13,150,Bajaj,,,,
Bajaj Avenger 220cc,87000,Mumbai,20000,First Owner,6,200,KTM,,,,
Bajaj Avenger 220cc,45600,Rewari,18000,Second Owner,5,220,Bajaj,,,,
Bajaj Avenger 220cc,42000,Ahmednagar,58000,First Owner,7,180,Bajaj,,,,
